codigo;Tipo;Equipamentos;unid;C u s t o Produtivo;C u s t o Improdutivo;C u s t o Parado;C u s t o Aluguel;HORA-MAQUINA
01.028.000045;EQ;Pá-carregadeira sobre pneus diesel (capacidade: 2,8 m³ / potência: 145 HP);UN;;;;1;;
01.028.000046;EQ;Carregadeira de rodas com caçamba com bordas cortantes aparafusáveis diesel para aplicação geral (capacidade nominal da caçamba: 4,00 m³ / capacidade rasa da caçamba: 3,43 m³ / potência nominal no volante: 262 HP / profundidade de escavação: 108 mm);H PROD;;;;1;;
01.028.000047;EQ;Pá-carregadeira sobre pneus diesel (capacidade: 3,3 m³ / potência: 180 HP);UN;;;;1;;
01.028.000048;EQ;Compactador de placa vibratória diesel (impacto: 5624 kg / peso: 440 kg / potência: 10 HP);UN;;;;1;;
01.028.000049;EQ;Retroescavadeira sobre pneus diesel (capacidade: 0,3 e 1 m³ / potência: 98 HP);UN;;;;1;;
01.028.000050;EQ;Compactador de placa vibratória gasolina (potência: 6 HP);UN;;;;1;;
01.028.000051;EQ;Retroescavadeira sobre pneus diesel braço tipo padrão caçamba tipo dianteira de inclinação simples e aplicação geral (alcance de carregamento: 1823 mm / capacidade nominal da caçamba: 1,07 m³ / potência nominal no volante do motor: 100 HP / profundidade d;UN;;;;1;;
01.028.000052;EQ;Pá-carregadeira sobre pneus diesel (capacidade: 3,8 m³ / potência: 200 HP);UN;;;;1;;
01.028.000053;EQ;Carregadeira de rodas com caçamba com bordas cortantes aparafusáveis diesel para aplicação geral (capacidade nominal da caçamba: 2,00 m³ / capacidade rasa da caçamba: 1,70 m³ / potência nominal no volante: 143 HP / profundidade de escavação: 86 mm);UN;;;;1;;
01.028.000054;EQ;Pá-carregadeira sobre pneus diesel (capacidade: 5,7 m³ / potência: 300 HP);UN;;;;1;;
01.028.000055;EQ;Compactador de placa vibratória diesel (impacto: 3000 kg / peso: 162 kg / potência: 4,7 HP);UN;;;;1;;
01.028.000056;EQ;Retroescavadeira sobre pneus diesel (capacidade: 0,24 e 0,88 m³ / potência: 85 HP);UN;;;;1;;
01.036.000004;EQ;Caminhão toco diesel (capacidade: 4 t/ potência: 120 CV);UN;;;;1;;
01.036.000005;EQ;Caminhão fora-de-estrada diesel (potência: 264 HP / capacidade carga útil: 25,5 t/caçamba: 13,5 m³);UN;;;;1;;
01.036.000007;EQ;Carreta com caçamba basculante semi-reboque rebaixado 3 eixos (capacidade carga útil: 35 t / caçamba: 25 m³);UN;;;;1;;
01.036.000008;EQ;Caminhão toco diesel (capacidade: 19,8 t/ potência: 231 CV);UN;;;;1;;
01.036.000009;EQ;Cavalo mecânico diesel (capacidade: 15 t / potência: 335 HP);UN;;;;1;;
01.036.000010;EQ;Carroceria de madeira (comprimento: 9 m);UN;;;;1;;
01.036.000011;EQ;Caminhão toco diesel (capacidade: 14 t /potência: 264 CV);UN;;;;1;;
01.036.000012;EQ;Cavalo mecânico diesel (capacidade: 16 t / potência: 396 HP);UN;;;;1;;
01.036.000013;EQ;Carreta carrega tudo semi-reboque rebaixado 2 eixos (capacidade carga útil: 35 t);UN;;;;1;;
01.036.000014;EQ;Carroceria de madeira (comprimento: 4,2 m);UN;;;;1;;
01.036.000015;EQ;Caminhão truck diesel (capacidade: 8,6 t / potência: 170 CV);UN;;;;1;;
01.036.000016;EQ;Caminhão fora-de-estrada diesel (potência: 311 HP / capacidade carga útil: 27,2 t/caçamba: 18 m³);UN;;;;1;;
01.036.000017;EQ;Carroceria de madeira (comprimento: 5,8 m);UN;;;;1;;
01.036.000018;EQ;Caminhão toco diesel (capacidade: 15,46 t/ potência: 211 CV);UN;;;;1;;
01.036.000019;EQ;Caminhão fora-de-estrada diesel (potência: 400 HP / capacidade carga útil: 32 t/caçamba: 24,8 m³);UN;;;;1;;
01.036.000020;EQ;Carroceria de madeira (comprimento: 7,1 m);UN;;;;1;;
01.036.000021;EQ;Caminhão toco diesel (capacidade: 16 t/ potência: 264 CV);UN;;;;1;;
01.036.000022;EQ;Cavalo mecânico diesel tandem duplo (capacidade: 23 t / potência: 396 HP);UN;;;;1;;
01.036.000023;EQ;Carreta carrega tudo semi-reboque rebaixado (capacidade carga útil: 45 t);UN;;;;1;;
01.037.000004;EQ;Guindaste hidráulico autopropelido sobre pneus (capacidade: 30 t / potência: 175 HP);UN;;;;1;;
01.037.000006;EQ;Grua móvel elétrica (capacidade: 0,8 t / potência: 5 HP);UN;;;;1;;
01.037.000007;EQ;Grua móvel elétrica (capacidade: 1,2 t / potência: 7,5 HP);UN;;;;1;;
01.037.000008;EQ;Grua móvel elétrica (capacidade: 3 t / potência: 15 HP);UN;;;;1;;
01.037.000009;EQ;Grua fixa elétrica (capacidade: 4 t / potência: 16 HP);UN;;;;1;;
01.037.000010;EQ;Grua fixa elétrica (capacidade: 5 t / potência: 33 HP);UN;;;;1;;
01.037.000011;EQ;Guindaste mecânico autopropelido sobre pneus (capacidade: 68 t / potência: 200 HP);UN;;;;1;;
01.037.000012;EQ;Guincho automático elétrico (potência: 15 HP / capacidade: 1,2 t);UN;;;;1;;
01.037.000013;EQ;Guindaste hidráulico autopropelido sobre pneus (capacidade: 10 t / potência: 124 HP);UN;;;;1;;
01.037.000014;EQ;Guincho automático elétrico (potência: 20 HP / capacidade: 1,2 t);UN;;;;1;;
01.037.000015;EQ;Guindaste hidráulico montado sobre chassi de caminhão diesel (potência: 228 HP / capacidade: 30 t);UN;;;;1;;
01.037.000016;EQ;Guindauto (capacidade: 7 t);UN;;;;1;;
01.037.000017;EQ;Guindauto (capacidade: 4,5 t);UN;;;;1;;
01.037.000018;EQ;Guindaste hidráulico montado sobre chassi de caminhão diesel (potência: 375 HP / capacidade: 27 t);UN;;;;1;;
01.037.000019;EQ;Talha manual (capacidade: 1,5 t);UN;;;;1;;
01.038.000001;EQ;Kombi álcool (capacidade: 1 t / potência: 80 HP);UN;;;;1;;
01.038.000002;EQ;Kombi gasolina (capacidade: 1 t / potência: 78 HP);UN;;;;1;;
01.038.000003;EQ;Pick-up álcool (potência: 103 HP / capacidade carga útil: 0,7 t);UN;;;;1;;
01.038.000004;EQ;Pick-up diesel (potência: 133 HP / capacidade carga útil: 1 t);UN;;;;1;;
01.038.000005;EQ;Pick-up gasolina (potência: 150 HP / capacidade carga útil: 0,8 t);UN;;;;1;;
01.038.000006;EQ;Pick-up gasolina (potência: 101 HP / capacidade carga útil: 0,7 t);UN;;;;1;;
01.041.000002;EQ;Caçamba (capacidade: 5 m³);UN;;;;1;;
01.041.000003;EQ;Caçamba (capacidade: 12 m³);UN;;;;1;;
01.041.000004;EQ;Caçamba (capacidade: 6 m³);UN;;;;1;;
01.041.000005;EQ;Empilhadeira diesel (capacidade: 7,5 t / potência: 82 HP);UN;;;;1;;
01.041.000006;EQ;Empilhadeira diesel (capacidade: 3 t / potência: 57 HP);UN;;;;1;;
02.002.000002;EQ;Fôrma de Polipropileno para laje nervurada (altura: 150 mm / comprimento: 0,570 m / largura: 0,600 m);LOC/UN/DIA;;;;1;;
02.002.000011;EQ;Fôrma de Polipropileno para laje nervurada (altura: 425 mm / comprimento: 1,125 m / largura: 0,525 m) -;LOC/UN/DIA;;;;1;;
02.002.000014;EQ;Perfil cartola de chapa dobrada 13 de aço galvanizado 1020 (abas: 2,5 cm / altura: 2,5 cm / largura: 3,0 cm );LOC/M/DIA;;;;1;;
02.002.000015;EQ;Perfil cartola de chapa dobrada 13 de aço galvanizado 1020 (abas: 2,5 cm / altura: 2,5 cm / largura: 7,5 cm );LOC/M/DIA;;;;1;;
02.003.000001;EQ;Escora metálica (altura - intervalo: 2,00 a 3,20 m);LOC/UN/MÊS;;;;1;;
02.003.000002;EQ;Tubo metálico equipado para cimbramento (diâmetro da seção: 1 1/2 ");LOC/M/MÊS;;;;1;;
02.004.000001;EQ;Elevador de obra com torre de 10 m sistema pinhão-cremalheira para transporte de pessoas ou cargas (altura máx. elevação: 120 m / capacidade de carga: 700 kg / dimensões internas da cabine: 2,00x1,00x2,10 m / percurso máx. do carro: 115 m / velocidade: 36;LOC/MÊS;;;;1;;
02.004.000002;EQ;Elevador de obra com torre de 10 m tração a cabo de aco para transporte de pessoas ou cargas (capacidade de carga: 1000 kg / dimensões internas da cabine: 1,83x1,50x2,00 m / percurso máx. do carro: 144 m / velocidade: 22 m/min / altura máx. elevação: 120;LOC/MÊS;;;;1;;
02.005.000001;EQ;Lava-jato água fria e água quente (pressão: 1700 psi);LOC/UN/H;;;;1;;
02.005.000002;EQ;Lava-jato água fria (pressão: 1700 psi);LOC/UN/H;;;;1;;
02.006.000001;EQ;Central de injeção de resina com tanque regulador de pressão e compressor de ar;LOC/UN/H;;;;1;;
02.007.000001;EQ;Lixadeira angular manual elétrica (diâmetro: 7 " / potência: 2200 W / rotação: 6600 rpm);LOC/UN/DIA;;;;1;;
02.009.000001;EQ;Rebarbador elétrico inclusive ponteiros;LOC/UN/H;;;;1;;
02.010.000001;EQ;Fresadora e escarificadora mecânica;LOC/UN/H;;;;1;;
